Frame  Ab-initio (eV)      PIPNN (eV)      Error (eV)
  158       -0.592835       -0.592780        0.000055
  159       -0.592835       -0.592780        0.000055
  160       -0.592835       -0.592780        0.000055
  161       -0.592835       -0.592780        0.000055
  162       -0.592835       -0.592780        0.000055
  163       -0.592835       -0.592780        0.000055
  164       -0.592835       -0.592780        0.000055
  165       -0.592835       -0.592780        0.000055
  166       -0.592835       -0.592780        0.000055
  167       -0.592835       -0.592780        0.000055
  168       -0.592835       -0.592780        0.000055
  169       -0.592835       -0.592780        0.000055
  170       -0.592835       -0.592780        0.000055
  171       -0.592835       -0.592780        0.000055
  172       -0.592835       -0.592780        0.000055
  173       -0.592835       -0.592780        0.000055
  174       -0.592835       -0.592780        0.000055
  175       -0.592835       -0.592780        0.000055
  176       -0.592835       -0.592780        0.000055
  177       -0.592835       -0.592780        0.000055
  178       -0.592835       -0.592780        0.000055
  179       -0.592835       -0.592780        0.000055
  180       -0.592835       -0.592780        0.000055
  181       -0.592835       -0.592780        0.000055
  182       -0.592835       -0.592780        0.000055
  183       -0.592835       -0.592780        0.000055
  184       -0.592835       -0.592780        0.000055
  185       -0.592835       -0.592780        0.000055
  186       -0.592835       -0.592780        0.000055
  187       -0.592835       -0.592780        0.000055
  188       -0.592835       -0.592780        0.000055
  189       -0.592835       -0.592780        0.000055
  190       -0.592835       -0.592780        0.000055
  191       -0.592835       -0.592780        0.000055
  192       -0.592835       -0.592780        0.000055
  193       -0.592835       -0.592780        0.000055
  194       -0.592835       -0.592780        0.000055
  195       -0.592835       -0.592780        0.000055
  196       -0.592835       -0.592780        0.000055
  197       -0.592835       -0.592780        0.000055
  198       -0.592835       -0.592780        0.000055
  199       -0.592835       -0.592780        0.000055
  200       -0.592835       -0.592780        0.000055
  201       -0.592835       -0.592780        0.000055
  202       -0.592835       -0.592780        0.000055
  203       -0.592835       -0.592780        0.000055
  204       -0.592835       -0.592780        0.000055
  205       -0.592835       -0.592780        0.000055
  206       -0.592835       -0.592780        0.000055
  207       -0.592835       -0.592780        0.000055
  208       -0.592835       -0.592780        0.000055
